Price,Year,Model,Body,Series:,Mileage,Power,Cylinder Capacity,Steering,Transmission,Drive,Fuel,Interior Material,Interior Color,Exterior Color,Condition,New / Used,Ready to Drive,Location
"EUR 169,900EUR 159,900",1998,993 Turbo,Coupé,993,114000 km,408 HP,"3,6 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Black,Silver,#N/A,Used car,yes,Austria
"EUR 216,000",2002,996 GT2,Coupé,996,37791 km,462 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Silver,#N/A,Used car,yes,Italy
"EUR 89,000",2008,997 Turbo,Cabriolet,997,32100 km,480 HP,"3,6 Liter",left,Automatic,Four-wheel drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Netherlands
"EUR 142,900",2015,991.2 Carrera 4S,Targa,991,40325 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Blue,Accident-free,Used car,yes,Germany
"EUR 129,900",1964,356 C,Coupé,356,3832 km,75 HP,"1,6 Liter",left,Manual,Rear drive,Gasoline,Leatherette,Black,Red,Fully restored,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 204,992",2022,992 GT3 Touring,Coupé,992,1482 km,510 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Red,#N/A,Used car,yes,Germany
"EUR 95,000",1987,911 Carrera 3.2,Targa,911 G-Model,500 km,260 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Grey,Fully restored,Used car,yes,Netherlands
"EUR 71,718",2019,718 Boxster GTS,Cabriolet,982,52450 km,365 HP,"2,5 Liter",left,PDK,Rear drive,Gasoline,Alcantara,Black,Red,Accident-free,Used car,yes,France
#N/A,1989,911 Carrera 3.2 Speedster,Cabriolet,911 G-Model,57000 km,231 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Red,#N/A,Used car,yes,France
"USD 148,640",2024,992 Carrera T,Coupé,992,9 km,385 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Green,#N/A,Used car,yes,United States
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 164,900",2018,991 GT3 Touring,Coupé,991,21900 km,500 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,Black,Accident-free,Used car,yes,Germany
"EUR 163,590",2018,991.2 Turbo S,Cabriolet,991,45500 km,580 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Germany
"EUR 149,900",2018,991.2 Turbo S,Coupé,991,65300 km,580 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Red,Grey,Accident-free,Used car,yes,Germany
"EUR 79,500",1990,964 Carrera 4,Coupé,964,152000 km,250 HP,"3,6 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Blue,Blue,Accident-free,Used car,yes,Italy
"EUR 116,511",2020,718 Cayman GT4,Coupé,982,9500 km,420 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Blue,Accident-free,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 229,000",2022,992 GT3 Touring,Coupé,992,9345 km,510 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Beige,Blue,#N/A,Used car,yes,Belgium
