Price,Year,Model,Body,Series:,Mileage,Power,Cylinder Capacity,Steering,Transmission,Drive,Fuel,Interior Material,Interior Color,Exterior Color,Condition,New / Used,Ready to Drive,Location
"CHF 174,900",1993,964 Carrera 2 Speedster,Cabriolet,964,103600 km,250 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Switzerland
"EUR 57,900",2011,997.2 Carrera,Cabriolet,997,94746 km,345 HP,"3,6 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,#N/A,Used car,yes,Germany
"EUR 64,900",1974,911,Targa,911 G-Model,70002 km,150 HP,"2,7 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Yellow/Gold,#N/A,Used car,yes,Germany
"EUR 119,900",1992,964 Carrera 4,Coupé,964,53298 km,250 HP,"3,6 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Grey,Green,#N/A,Used car,yes,Netherlands
"EUR 64,800",1995,993 Carrera,Cabriolet,993,176640 km,272 HP,"3,6 Liter",left,Automatic,Rear drive,Gasoline,Leather,Blue,Blue,Accident-free,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 119,800",1986,911 Carrera 3.2 WTL,Cabriolet,911 G-Model,152933 km,231 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Germany
"EUR 194,900",2023,992 Carrera 4S,Coupé,992,3142 km,450 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Two-tone Leather,Beige,Blue,Accident-free,Used car,yes,Netherlands
"EUR 115,900",2016,991.2 Carrera S,Coupé,991,28500 km,420 HP,2981 Liter,left,PDK,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Germany
"EUR 99,911",2016,991.2 Carrera 4S,Coupé,991,82000 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 113,911",2017,991.2 Carrera 4S,Cabriolet,991,86000 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 104,911",2017,991.2 Carrera 4S,Coupé,991,62000 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 166,911",2017,991.2 Turbo S,Cabriolet,991,28000 km,580 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 109,911",2018,991.2 Carrera S,Cabriolet,991,35000 km,420 HP,3 Liter,left,PDK,Rear drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 123,911",2019,991.2 Carrera 4 GTS,Coupé,991,38000 km,450 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 144,911",2019,992 Carrera 4S,Cabriolet,992,36000 km,450 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Blue,Accident-free,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 113,911",2016,991.2 Carrera 4S,Cabriolet,991,64000 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,Netherlands
"EUR 525,000",1994,911 Backdate,Targa,911 Backdate/Modified,5990 km,460 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Two-tone Leather,Black,Grey,Fully restored,Used car,yes,Germany
"EUR 339,900",2020,991 Speedster,Roadster,991,47 km,510 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Netherlands
"EUR 299,500",1992,964 Carrera RS,Coupé,964,32500 km,260 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Two-tone Leather,Black,Red,Fully restored,Used car,yes,Netherlands
"EUR 93,800",1968,911 L,Coupé,911 F-Model,48600 km,130 HP,"2,0 Liter",left,Manual,Rear drive,Gasoline,Leatherette,Black,Black,Partially restored,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 159,900",1997,993 Carrera S,Coupé,993,82000 km,285 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Red,Black,Accident-free,Used car,yes,Germany
"EUR 1,399,900",2014,918 Spyder,Coupé,918,12693 km,608 HP,"4,6 Liter",left,PDK,Four-wheel drive,Hybrid,Leather,Black,Red,Accident-free,Used car,yes,Germany
"EUR 264,900",2011,997 Speedster,Cabriolet,997,26916 km,408 HP,"3,8 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Netherlands
"EUR 209,900",2016,991 GT3 RS,Coupé,991,924 km,500 HP,4 Liter,left,PDK,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Netherlands
#N/A,2006,Carrera GT,Roadster,Carrera GT,14800 km,612 HP,"5,7 Liter",left,Manual,Rear drive,Gasoline,Leather,Blue,Blue,Accident-free,Used car,#N/A,Switzerland
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 118,996",2011,997.2 Turbo,Coupé,997,91092 km,500 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Red,Accident-free,Used car,yes,Denmark
"EUR 223,907",2024,992.2 Carrera GTS,Cabriolet,992,#N/A,541 HP,"3,6 Liter",left,Manual,Rear drive,Hybrid,Leather,Black,Green,#N/A,New car,yes,Germany
"EUR 349,790",2023,992 GT3 RS,Coupé,992,3999 km,525 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Silver,Accident-free,Used car,yes,Germany
"EUR 474,890",2024,911 S/T,Coupé,992,969 km,525 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Two-tone Leather,Black,Blue,#N/A,Used car,yes,Germany
"EUR 194,390",2021,992 GT3,Coupé,992,24400 km,510 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Red,Accident-free,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 178,790",2024,718 Cayman GT4 RS,Coupé,982,2169 km,500 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Alcantara,Black,Grey,#N/A,Used car,#N/A,Germany
"EUR 169,890",2024,992.2 Carrera,Cabriolet,992,#N/A,394 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,#N/A,New car,#N/A,Germany
"EUR 168,890",2024,992.2 Carrera,Coupé,992,#N/A,394 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,Accident-free,New car,#N/A,Germany
"EUR 155,690",2024,992.2 Carrera,Cabriolet,992,9900 km,394 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,Germany
"EUR 152,980",2023,992 Carrera 4 GTS,Coupé,992,10150 km,480 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Alcantara,Black,Red,Accident-free,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 127,890",2021,992 Carrera 4,Cabriolet,992,27369 km,385 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Germany
"EUR 125,390",2022,992 Carrera S,Coupé,992,20169 km,450 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Beige,Green,Accident-free,Used car,yes,Germany
"EUR 121,790",2020,992 Carrera S,Cabriolet,992,42420 km,450 HP,"3,0 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Silver,#N/A,Used car,yes,Germany
"EUR 117,860",2020,992 Carrera,Coupé,992,37100 km,385 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Blue,#N/A,Used car,yes,Germany
"EUR 96,890",2020,718 Spyder,Cabriolet,982,22499 km,420 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Alcantara,Black,White,#N/A,Used car,yes,Germany
"EUR 89,890",2024,718 Cayman S,Coupé,982,9900 km,350 HP,"2,5 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,#N/A,Used car,yes,Germany
"EUR 64,290",2022,718 Boxster T,Cabriolet,982,19969 km,300 HP,"2,0 Liter",left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,White,#N/A,Used car,yes,Germany
"EUR 145,000",2012,991 Carrera S,Coupé,991,89400 km,400 HP,"3,8 Liter",left,PDK,Rear drive,Gasoline,Alcantara,Black,Red,Fully restored,Used car,yes,Poland
"USD 220,000",1988,911 Turbo Flachbau,Coupé,930,40457 mi,330 HP,"3,3 Liter",left,Manual,Rear drive,Gasoline,Leather,Beige,Red,#N/A,Used car,yes,United States
"USD 87,900",2010,997.2 Carrera S,Coupé,997,41979 mi,385 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Leather,Blue,Blue,Accident-free,Used car,yes,United States
"EUR 79,850",1992,964 Carrera 4,Cabriolet,964,184314 km,250 HP,"3,6 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Belgium
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 39,000",2010,Panamera,Coupé,Panamera,58790 km,400 HP,"4,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Beige,Grey,Accident-free,Used car,yes,Belgium
"USD 275,000",1973,911 Modified,Coupé,911 Backdate/Modified,16609 mi,#N/A,"3,8 Liter",left,Manual,Rear drive,Gasoline,Fabric,Black,Yellow/Gold,#N/A,Used car,yes,United States
"EUR 58,900",1991,964 Carrera 2,Coupé,964,164486 mi,250 HP,"3,6 Liter",right,Automatic,Rear drive,Gasoline,Leather,Blue,Silver,#N/A,Used car,yes,Netherlands
"EUR 259,000",2010,997.2 GT3 RS,Coupé,997,7200 km,450 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Fabric,Black,Blue,#N/A,Used car,yes,Germany
"EUR 162,890",2023,992 Carrera GTS,Cabriolet,992,23996 km,480 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Alcantara,Black,White,#N/A,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 162,890",2022,992 Carrera GTS,Cabriolet,992,5869 km,480 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Germany
"EUR 84,690",2024,718 Cayman Style Edition,Coupé,982,9900 km,300 HP,"2,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,Germany
"EUR 63,790",2020,718 Boxster,Cabriolet,982,23369 km,300 HP,"2,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Grey,Grey,Accident-free,Used car,yes,Germany
"EUR 348,790",2023,992 GT3 RS,Coupé,992,1031 km,525 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Yellow/Gold,Accident-free,Used car,yes,Germany
"EUR 388,390",2010,997 Sport Classic,Coupé,997,16869 km,408 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Leather,Brown,Grey,#N/A,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 344,390",2023,992 GT3 RS,Coupé,992,2769 km,525 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Yellow/Gold,Accident-free,Used car,yes,Germany
"EUR 218,890",2020,992 Turbo S,Cabriolet,992,9669 km,650 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Germany
"EUR 201,890",2021,992 GT3,Coupé,992,12005 km,510 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Alcantara,Black,White,Accident-free,Used car,yes,Germany
"EUR 118,890",2018,991.2 Carrera GTS,Coupé,991,88869 km,450 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Alcantara,Grey,Silver,Accident-free,Used car,yes,Germany
"EUR 199,890",2020,992 Turbo S,Coupé,992,25169 km,650 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Fabric/Leather combination,Black,Red,#N/A,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 113,930",2020,992 Carrera,Coupé,992,22369 km,385 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Germany
"EUR 81,890",2013,991 Carrera,Cabriolet,991,72669 km,350 HP,"3,4 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,#N/A,Used car,#N/A,Germany
"EUR 175,890",2024,718 Spyder RS,Cabriolet,982,2469 km,500 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Two-tone Leather,Black,White,Accident-free,Used car,yes,Germany
"EUR 84,790",2024,718 Boxster Style Edition,Cabriolet,982,9900 km,300 HP,"2,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Germany
"EUR 204,790",2020,992 Turbo S,Cabriolet,992,27669 km,650 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Brown,Green,Accident-free,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 25,900",1990,944 S2 Cabriolet,Cabriolet,944,268900 km,211 HP,3 Liter,left,Manual,Rear drive,Gasoline,Leather,Blue,Silver,#N/A,Used car,yes,Germany
"EUR 110,000",1991,964 Carrera 2,Coupé,964,83257 km,250 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Red,#N/A,Used car,yes,Germany
"EUR 29,900",2001,996 Carrera,Cabriolet,996,148453 km,320 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Silver,#N/A,Used car,yes,Belgium
"EUR 198,000",1991,964 Turbo,Coupé,964,101973 km,320 HP,"3,3 Liter",left,Manual,Rear drive,Gasoline,Leather,Red,Blue,#N/A,Used car,yes,Germany
"EUR 60,000",2008,997 Carrera 4S,Cabriolet,997,76736 km,355 HP,"3,8 Liter",left,Automatic,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 119,900",2007,997 GT3,Coupé,997,47668 km,415 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Germany
"EUR 44,999",2009,997.2 Carrera,Coupé,997,254800 km,345 HP,"3,6 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Belgium
"USD 250,000",2007,997 GT3 RS,Coupé,997,8500 km,415 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Fabric,Black,Orange,Accident-free,Used car,#N/A,Kuwait
"EUR 73,997",2007,997 Carrera 4S,Cabriolet,997,40000 km,355 HP,"3,8 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Red,Black,Accident-free,Used car,yes,Netherlands
"EUR 139,964",1992,964 Carrera 2 Cabrio WTL,Cabriolet,964,60000 km,250 HP,"3,6 Liter",left,Automatic,Rear drive,Gasoline,Leather,Red,Red,Accident-free,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 149,995",1979,911 Modified,Rennwagen,911 Backdate/Modified,7285 km,222 HP,"3,0 Liter",left,Manual,Rear drive,Gasoline,Fabric,Black,Blue,#N/A,Used car,yes,Netherlands
"EUR 102,900",2018,991.2 Carrera GTS,Coupé,991,86000 km,450 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Orange,Accident-free,Used car,yes,Netherlands
#N/A,2000,996 Turbo,Coupé,996,193000 km,420 HP,"3,6 Liter",left,Automatic,Four-wheel drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,Austria
"EUR 52,000",2005,997 Carrera,Coupé,997,65780 km,325 HP,"3,6 Liter",left,Automatic,Rear drive,Gasoline,Leather,Blue,Blue,#N/A,Used car,yes,Italy
"EUR 94,900",2018,991.2 Carrera,Coupé,991,67000 km,370 HP,3 Liter,left,PDK,Rear drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,France
"EUR 98,900",2020,718 Spyder,Cabriolet,982,32718 km,420 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,Black,Accident-free,Used car,yes,France
"EUR 134,900",2019,992 Carrera 4S,Coupé,992,28000 km,450 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Fabric/Leather combination,Black,Grey,Accident-free,Used car,yes,Netherlands
"EUR 99,900",2017,991.2 Carrera,Cabriolet,991,47000 km,370 HP,3 Liter,left,PDK,Rear drive,Gasoline,Leather,Black,Yellow/Gold,Accident-free,Used car,yes,Netherlands
"EUR 150,900",2024,992 Carrera 4 GTS,Coupé,992,7000 km,480 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Netherlands
"EUR 95,900",2017,991.2 Carrera S,Coupé,991,69000 km,420 HP,3 Liter,left,PDK,Rear drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Netherlands
"EUR 142,900",2024,992 Carrera 4,Targa,992,9000 km,385 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 138,900",2024,992 Carrera 4,Targa,992,15000 km,385 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Netherlands
"EUR 114,900",2024,992 Carrera T,Coupé,992,6000 km,385 HP,"3,0 Liter",left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,Red,Accident-free,Used car,yes,Netherlands
"EUR 109,900",1989,964 Carrera 2,Coupé,964,179000 km,250 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Two-tone Fabric/Leather combination,Black,White,Fully restored,Used car,yes,Netherlands
"EUR 168,900",2022,992 Carrera 4S,Coupé,992,9000 km,450 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Blue,Silver,Accident-free,Used car,yes,Netherlands
"EUR 216,900",2022,992 GT3,Coupé,992,20000 km,510 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Green,Accident-free,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 257,900",2019,991.2 GT3 RS,Coupé,991,7500 km,520 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 150,900",2021,992 Carrera 4S,Cabriolet,992,28000 km,450 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Blue,Accident-free,Used car,yes,Netherlands
"EUR 333,900",2023,911 Dakar,Coupé,992,1700 km,480 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Fabric/Leather combination,Black,Blue,Accident-free,Used car,yes,Netherlands
"EUR 141,900",2017,991.2 GT3,Coupé,991,70000 km,500 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Grey,Accident-free,Used car,yes,Netherlands
"EUR 126,900",2021,718 Spyder,Cabriolet,982,11000 km,420 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Blue,Accident-free,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 239,900",2021,992 Turbo S,Coupé,992,11000 km,650 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Red,Accident-free,Used car,yes,Netherlands
"EUR 213,900",2023,992 GT3 Touring,Coupé,992,11000 km,510 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Fabric/Leather combination,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 146,900",2017,991.2 Turbo S,Coupé,991,67000 km,580 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Netherlands
"EUR 201,900",2022,992 Edition 50 Jahre Porsche Design,Targa,992,600 km,480 HP,"3,0 Liter",left,Manual,Four-wheel drive,Gasoline,Fabric/Leather combination,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 132,900",2022,992 Carrera S,Cabriolet,992,14000 km,450 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 134,900",2019,992 Carrera 4S,Cabriolet,992,59000 km,450 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Blue,Accident-free,Used car,yes,Netherlands
#N/A,1988,911 Carrera 3.2 (US),Cabriolet,911 G-Model,100615 mi,218 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Red,#N/A,Used car,yes,Germany
#N/A,1973,914 1.7,Targa,914,61538 mi,80 HP,"1,7 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Red,#N/A,Used car,yes,Germany
#N/A,1993,968,Coupé,968,25800 km,240 HP,3 Liter,left,Automatic,Rear drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,Germany
"EUR 158,770",2023,992 Carrera 4 GTS,Coupé,992,3269 km,480 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 209,990",2022,992 GT3,Coupé,992,8011 km,510 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Alcantara,Black,Silver,Accident-free,Used car,yes,Netherlands
"EUR 109,000",1960,356 Outlaw,Coupé,356,99999 km,60 HP,"1,6 Liter",left,Manual,Rear drive,Gasoline,Leatherette,Black,Red,#N/A,Used car,yes,Germany
"EUR 74,990",2008,997.2 Carrera 4S,Cabriolet,997,86900 km,385 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Brown,White,#N/A,Used car,yes,Germany
"EUR 139,900",2007,997 GT3 RS,Coupé,997,89900 km,415 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Fabric,Black,Black,Accident-free,Used car,yes,France
"EUR 79,900",2009,997.2 Carrera 4S,Cabriolet,997,62802 km,385 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Brown,Black,#N/A,Used car,yes,France
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,2009,997.2 GT3,Coupé,997,67500 km,435 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Netherlands
"EUR 57,500",2006,997 Carrera S,Coupé,997,66250 km,355 HP,"3,8 Liter",left,Automatic,Four-wheel drive,Gasoline,Leather,Black,White,#N/A,Used car,yes,Netherlands
"EUR 99,900",2016,991.2 Carrera 4S,Coupé,991,98000 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,France
#N/A,1964,356 C,Coupé,356,#N/A,75 HP,"1,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Red,Silver,#N/A,Used car,yes,Italy
"EUR 169,999",2023,718 Cayman GT4 RS,Coupé,982,5900 km,500 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Two-tone Alcantara,Black,Grey,#N/A,Used car,yes,Belgium
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"USD 235,000",1991,911 by RWB,Coupé,911 Backdate/Modified,1000 mi,250 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Grey,Green,Fully restored,Used car,yes,United States
"EUR 177,900",2018,991 GT3 Touring,Coupé,991,12990 km,500 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Alcantara,Black,Grey,Accident-free,Used car,yes,Belgium
"CHF 94,400",2007,997 GT3,Coupé,997,69990 km,415 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,White,White,Accident-free,Used car,yes,Switzerland
"EUR 599,000",2024,911 S/T,Coupé,992,26 km,525 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,Grey,Accident-free,Used car,yes,Germany
"EUR 99,911",1970,911 T,Targa,911 F-Model,33560 km,125 HP,"2,2 Liter",left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,Silver,#N/A,Used car,yes,Germany
"CHF 94,900",1991,964 Carrera 2,Coupé,964,216000 km,250 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Grey,Blue,#N/A,Used car,yes,Switzerland
